unique_id,cutoff,metric,Naive,SeasonalNaive,AutoETS,AutoARIMA,LGBMRegressor,AutoNBEATS,AutoNHITS,Chronos
hotel_7,2023-02-10,mae,0.061365751512331326,0.06927640763145651,0.0831464578201191,0.06999260606914333,0.07245542267901663,0.13522827859643785,0.06220359737967936,0.08603346853643977
hotel_70,2023-02-10,mae,0.05059523809523809,0.0838032581453634,0.06918747597794982,0.040916999432852506,0.05257628726900722,0.13472938674845195,0.05604212970139089,0.07745900229179768
hotel_84,2023-02-10,mae,0.19834404349975285,0.17684132476520018,0.17997192392411726,0.19991059133433037,0.1578456789199225,0.21444354345170333,0.18598283218883727,0.25580752471915813
hotel_91,2023-02-10,mae,0.2026484751203852,0.15930979133226322,0.13960034148144346,0.12988445631807544,0.11700468941435949,0.22444759526949248,0.22822187522823892,0.14490251257465508
hotel_98,2023-02-10,mae,0.19729262672811057,0.21860599078341014,0.2549711469081382,0.18518262136594185,0.23309000099712698,0.2676254094144853,0.24020678134557838,0.20736642540668562
hotel_0,2023-03-10,mae,0.0974426807760141,0.09656084656084654,0.09054138318980261,0.08238071204008633,0.09030701241369324,0.10903875477204665,0.10853091470989176,0.08898650774669813
hotel_105,2023-03-10,mae,0.10489667565139264,0.10849056603773587,0.1293912975231385,0.11712561502383166,0.11177711125968406,0.11532972825344683,0.11139357859822728,0.1254186231947545
hotel_112,2023-03-10,mae,0.09174107142857144,0.09977678571428573,0.09918374217916882,0.09830190609028253,0.09787563146161833,0.10074767172336578,0.10258679645402091,0.0931513535124915
hotel_126,2023-03-10,mae,0.00739897552646556,0.010813887307911203,0.060393995589153815,0.033353510391339124,0.05068429466271668,0.06116615003425422,0.040503644729515474,0.06419538195559296
hotel_133,2023-03-10,mae,0.0930913348946136,0.0989461358313817,0.12586338862725927,0.1981834985679727,0.16042095681746488,0.20510436224574508,0.2199854984076855,0.15326621584088237
hotel_14,2023-03-10,mae,0.16071428571428575,0.07850404312668466,0.08933681100991557,0.07100464663044737,0.06870287062233454,0.11556272465745714,0.08827965584084031,0.09989835570925332
hotel_21,2023-03-10,mae,0.01273148148148147,0.025958994708994685,0.019142571303312293,0.0259413546814152,0.04822666584414116,0.018258117967181735,0.017889877396916585,0.013850819102670775
